model,target,group,samples,rmse,mae,bias
DeepLearning,12CO2,12:46:00,20,30.969034486954293,30.494156265258788,30.494156265258788
DeepLearning,12CO2,12:55:42,20,27.748825489041884,26.29388427734375,26.29388427734375
DeepLearning,12CO2,13:05:15,20,10.358668089062208,6.9564674377441404,-5.372490692138672
DeepLearning,12CO2,13:14:37,20,17.992926205760806,16.969712829589845,11.446412658691406
DeepLearning,12CO2,13:24:02,20,18.012175433660477,13.480118560791016,8.52553482055664
DeepLearning,12CO2,13:33:30,20,14.73704090000976,13.335214233398437,-13.335214233398437
DeepLearning,12CO2,13:43:08,20,53.372302073395154,52.93150100708008,-52.93150100708008
DeepLearning,13CO2,12:46:00,20,0.3921951813059674,0.38644684553146363,0.38644684553146363
DeepLearning,13CO2,12:55:42,20,0.17682414675302097,0.1638140171766281,0.1638140171766281
DeepLearning,13CO2,13:05:15,20,0.22873990454829932,0.17430768609046937,-0.17012857794761657
DeepLearning,13CO2,13:14:37,20,0.17019688646914588,0.14366164207458496,0.06799298524856567
DeepLearning,13CO2,13:24:02,20,0.2447696436219027,0.2312014102935791,-0.2312014102935791
DeepLearning,13CO2,13:33:30,20,0.1482157640030458,0.09870337843894958,-0.09678332209587097
DeepLearning,13CO2,13:43:08,20,0.5645101282342143,0.5595925509929657,-0.5595925509929657
GradientBoosting,12CO2,12:46:00,20,41.518396096986095,40.286348965359956,40.286348965359956
GradientBoosting,12CO2,12:55:42,20,29.844415965168192,28.48032565887572,20.009852473981546
GradientBoosting,12CO2,13:05:15,20,30.95243509959044,29.65624510750252,21.52977653864879
GradientBoosting,12CO2,13:14:37,20,29.52887131408543,27.056857091038808,19.733424676389237
GradientBoosting,12CO2,13:24:02,20,20.61424156607016,15.842532348683033,5.831055389270885
GradientBoosting,12CO2,13:33:30,20,28.456842926625942,27.278667181196255,20.31192359877987
GradientBoosting,12CO2,13:43:08,20,37.193005894971904,37.18953803582603,-37.18953803582603
GradientBoosting,13CO2,12:46:00,20,0.46434965588601307,0.45057026438653847,0.45057026438653847
GradientBoosting,13CO2,12:55:42,20,0.3394363184261469,0.32535544205235567,0.23517540020885344
GradientBoosting,13CO2,13:05:15,20,0.34311591805064695,0.32813734844286513,0.23399523745512077
GradientBoosting,13CO2,13:14:37,20,0.3185521050418436,0.2868282797690125,0.20333131784711247
GradientBoosting,13CO2,13:24:02,20,0.24711056815037627,0.23031072546899156,0.15181387492203754
GradientBoosting,13CO2,13:33:30,20,0.34695961468405784,0.34095719372942135,0.2544336689590986
GradientBoosting,13CO2,13:43:08,20,0.41693334596844056,0.4168891960276372,-0.4168891960276372
RandomForest,12CO2,12:46:00,20,40.49036946764319,39.80650319671631,39.80650319671631
RandomForest,12CO2,12:55:42,20,18.497254257812692,16.292662900924682,9.213438535690308
RandomForest,12CO2,13:05:15,20,29.268584602022845,27.65998248799641,18.391852298609408
RandomForest,12CO2,13:14:37,20,26.467949768267616,25.321804888350172,18.084034631163284
RandomForest,12CO2,13:24:02,20,23.19928026341787,22.040853118896486,14.04477233848572
RandomForest,12CO2,13:33:30,20,27.359216732613067,26.92685970649719,19.175351762262984
RandomForest,12CO2,13:43:08,20,37.04505885451103,37.04486450398763,-37.04486450398763
RandomForest,13CO2,12:46:00,20,0.45285205768681774,0.4452035988201698,0.4452035988201698
RandomForest,13CO2,12:55:42,20,0.20687639425528967,0.1822196948657433,0.10304426814417042
RandomForest,13CO2,13:05:15,20,0.32734549915796374,0.3093546308060487,0.20569831530849134
RandomForest,13CO2,13:14:37,20,0.29602272883898473,0.2832040227784713,0.2022553894593318
RandomForest,13CO2,13:24:02,20,0.2594645264321002,0.24650841066340606,0.15707862368722755
RandomForest,13CO2,13:33:30,20,0.30599089514339733,0.3011553353816271,0.21446127451161545
RandomForest,13CO2,13:43:08,20,0.41431930208827955,0.41431712844769153,-0.41431712844769153
Ridge,12CO2,12:46:00,20,35.06327913330456,33.314300537109375,33.314300537109375
Ridge,12CO2,12:55:42,20,12.555839881939942,9.193383407592773,-7.3047126770019535
Ridge,12CO2,13:05:15,20,20.561045784224298,16.645238876342773,5.159565353393555
Ridge,12CO2,13:14:37,20,13.689278563258819,11.01177520751953,0.7786880493164062
Ridge,12CO2,13:24:02,20,18.063377385649247,14.07981185913086,-6.292429351806641
Ridge,12CO2,13:33:30,20,16.634565608852494,13.429575347900391,5.302544403076172
Ridge,12CO2,13:43:08,20,21.155010539483975,16.172713470458984,-14.309102630615234
Ridge,13CO2,12:46:00,20,0.3921606810032067,0.37259896993637087,0.37259896993637087
Ridge,13CO2,12:55:42,20,0.14042946481512775,0.10282211899757385,-0.08169647455215454
Ridge,13CO2,13:05:15,20,0.2299580593620762,0.1861611008644104,0.05770111083984375
Ridge,13CO2,13:14:37,20,0.15310285834166418,0.1231573224067688,0.008709883689880371
Ridge,13CO2,13:24:02,20,0.2020253816823737,0.15747057199478148,-0.07038005590438842
Ridge,13CO2,13:33:30,20,0.18604388982297823,0.15020009279251098,0.059307754039764404
Ridge,13CO2,13:43:08,20,0.23659571295771747,0.18086812496185303,-0.16002388000488282
XGBoost,12CO2,12:46:00,20,40.278430755202244,39.31758289337158,39.31758289337158
XGBoost,12CO2,12:55:42,20,24.465870859294498,23.91473855301738,16.585589892417193
XGBoost,12CO2,13:05:15,20,30.25602075155684,28.12135019302368,-4.018775272369385
XGBoost,12CO2,13:14:37,20,26.197259504221066,22.947982788085938,7.112660217285156
XGBoost,12CO2,13:24:02,20,20.07856691379322,13.65842399597168,2.5414661407470702
XGBoost,12CO2,13:33:30,20,27.39310991109458,26.192774963378906,-4.34190673828125
XGBoost,12CO2,13:43:08,20,38.47581071190951,38.44695281982422,-38.44695281982422
XGBoost,13CO2,12:46:00,20,0.46319246363272126,0.4542822763323784,0.4542822763323784
XGBoost,13CO2,12:55:42,20,0.31796767526461933,0.31553324428386986,0.23371956977061928
XGBoost,13CO2,13:05:15,20,0.2860634015342239,0.23034039810299872,0.032633083313703536
XGBoost,13CO2,13:14:37,20,0.2811015591709674,0.2579654037952423,0.033562475442886354
XGBoost,13CO2,13:24:02,20,0.26927925693348814,0.2531303644180298,-0.08274091482162475
XGBoost,13CO2,13:33:30,20,0.2866390767824197,0.26487686634063723,-0.027867913246154785
XGBoost,13CO2,13:43:08,20,0.43406019365968845,0.4337610721588135,-0.4337610721588135
