target,feature,mean_coefficient,mean_abs_coefficient,coefficient_std,sign_consistency
12CO2,mod_median,8.712863537183717,8.712863537183717,2.36620016885272,1.0
12CO2,phase_median,7.350111279077197,7.350111279077197,2.337966819605276,1.0
12CO2,phase_bin_05_mean,5.278042756818239,5.48873800498844,3.115749029683597,0.7142857142857143
12CO2,phase_sin_mean,-5.481613795947505,5.481613795947505,1.9276323674467408,1.0
12CO2,phase_bin_23_mean,-5.4460998725638845,5.4460998725638845,1.5501889322649505,1.0
12CO2,mod_p10,4.339036307782661,4.423272271984511,2.636223362976788,0.7142857142857143
12CO2,X_std,4.399677748496463,4.399677748496463,0.8768610829407901,1.0
12CO2,mod_mean,4.376625994767545,4.376625994767545,1.122012560324738,1.0
12CO2,mod_p90,4.351284546020748,4.351284546020748,2.0685557747582597,1.0
12CO2,mod_kurt,4.341669054321281,4.341669054321281,0.9405759367326944,1.0
12CO2,Y_mean,-4.2753633616411095,4.2753633616411095,1.3324052523961756,1.0
12CO2,mod_std,4.2572829323897565,4.2572829323897565,1.4339341727500396,1.0
12CO2,Y_min,3.9212335833054692,4.005721929871544,1.9133436087604536,0.7142857142857143
12CO2,phase_std,-3.947305976023084,3.947305976023084,1.3018337193736522,1.0
12CO2,phase_kurt,-3.8886953183455737,3.8886953183455737,1.035307724500113,1.0
12CO2,X_skew,3.45747308881647,3.6245608505561475,2.7017420050219183,0.7142857142857143
12CO2,mod_peak0_pow,3.566421243735276,3.566421243735276,1.4664140509584105,1.0
12CO2,mod_psd_max,3.566421243734717,3.566421243734717,1.4664140509582975,1.0
12CO2,phase_bin_26_mean,-3.472982856799444,3.4793281116962254,2.069160960392414,0.7142857142857143
12CO2,mod_max,-3.4524113762056166,3.4524113762056166,1.987285351632209,1.0
12CO2,phase_bin_03_mean,2.833055355451799,3.260258338567843,2.7562905092182697,0.42857142857142855
12CO2,F_med,3.2593432322240985,3.2593432322240985,1.1213311198432772,1.0
12CO2,Y_skew,-2.625935563181091,3.15288800117293,2.683694717442401,0.7142857142857143
12CO2,phase_p10,-1.8878101719331892,3.1215593464314564,3.071588750720536,0.14285714285714285
12CO2,Y_median,3.028937532253754,3.0877568135935003,1.5237646574277413,0.7142857142857143
12CO2,X_p10,-2.885050013764176,2.885050013764176,1.701591695101763,1.0
12CO2,mod_skew,2.8461844090987976,2.8461844090987976,1.0175711176058448,1.0
12CO2,X_p90,2.7525478410684543,2.7525478410684543,1.0264822873450532,1.0
12CO2,phase_bin_01_mean,-2.666637113296762,2.666637113296762,0.732865259958013,1.0
12CO2,phase_bin_06_mean,2.447078901367718,2.59159654717403,1.6184250181493391,0.7142857142857143
12CO2,phase_resultant_length,-2.579952615727352,2.579952615727352,0.9629444172734155,1.0
12CO2,phase_bin_12_mean,-2.5633776352326785,2.5633776352326785,0.8672384538270177,1.0
12CO2,phase_bin_07_mean,1.5289515266992646,2.5427543959085823,2.4450152292902243,0.7142857142857143
12CO2,Y_std,-0.20004851788493797,2.5355111689073504,2.7724074585763425,0.14285714285714285
12CO2,phase_p90,-2.5145306222373796,2.5145306222373796,0.9867853122980255,1.0
12CO2,phase_bin_24_mean,1.0634634717722005,2.379014648151434,2.6639718868408484,0.14285714285714285
12CO2,phase_circular_mean,2.3042597652318855,2.3042597652318855,0.8209263432178416,1.0
12CO2,phase_cos_mean,2.187009163546551,2.187009163546551,0.9502774495975334,1.0
12CO2,phase_bin_04_mean,-0.9606909807254357,2.1643163890214434,2.6558006787071435,0.14285714285714285
12CO2,phase_bin_30_mean,-2.0748546387169333,2.0748546387169333,1.1538383733601554,1.0
12CO2,mod_peak2_pow,2.0091746840047486,2.0091746840047486,1.2641763476229393,1.0
12CO2,X_min,0.6335199053852197,1.9593341577518015,2.0850365139656795,0.14285714285714285
12CO2,phase_bin_25_mean,-1.3159810146912183,1.8848760223511896,2.1893646316004185,0.42857142857142855
12CO2,phase_bin_13_mean,1.8827735595943071,1.8827735595943071,0.804140778736323,1.0
12CO2,mod_min,1.7975635190516335,1.8676629687727107,1.2698177129937505,0.7142857142857143
12CO2,phase_bin_00_mean,1.8620242631502808,1.8620242631502808,1.3317936152749104,1.0
12CO2,X_median,0.1917038331413859,1.8507251361085875,2.079924489538812,0.14285714285714285
12CO2,phase_bin_02_mean,-0.8870670081578892,1.8205905612764546,1.7589765070393968,0.42857142857142855
12CO2,phase_bin_22_mean,-1.8142758862029724,1.8142758862029724,1.3682140814482986,1.0
12CO2,phase_bin_19_mean,-1.7582802777111228,1.7582802777111228,0.7042289502840299,1.0
12CO2,Y_p10,0.9885485748083612,1.658413722746181,1.7265370119333372,0.42857142857142855
12CO2,X_max,0.6728572057078743,1.5326928779785765,1.8263532931241069,0.14285714285714285
12CO2,mod_peak4_pow,-1.3181075314269834,1.3181075314269834,0.6159440276206826,1.0
12CO2,phase_max,0.819363093768798,1.2642536162763778,1.010163437880683,0.7142857142857143
12CO2,phase_mean,0.8336082954002426,1.256488471571935,1.2243371896335689,0.7142857142857143
12CO2,phase_bin_10_mean,-1.2205857771184685,1.2205857771184685,0.9519669960783713,1.0
12CO2,Y_p90,0.7571630169878224,1.219761137170266,1.651621075808082,0.14285714285714285
12CO2,phase_bin_29_mean,1.2112641462239329,1.2112641462239329,0.8461757005615055,1.0
12CO2,phase_bin_20_mean,1.2016032914366437,1.2016032914366437,0.6789020042965568,1.0
12CO2,X_kurt,-0.11504725792523296,1.1848243148441326,1.244941549504827,0.14285714285714285
12CO2,phase_bin_21_mean,1.0285982323044096,1.1715919454932597,0.8626484558585611,0.7142857142857143
12CO2,Temp,-1.1553134046911242,1.1553134046911242,0.7731308859919463,1.0
12CO2,mod_peak3_pow,0.0965423570521519,1.1531030609104334,1.374322797625216,0.14285714285714285
12CO2,phase_bin_08_mean,0.2270335464851463,1.125615478960466,1.2680454687931726,0.42857142857142855
12CO2,phase_bin_09_mean,-1.120569371591649,1.120569371591649,0.7318342967503699,1.0
12CO2,phase_bin_11_mean,1.0779340913567224,1.0779340913567224,0.48418470965735466,1.0
12CO2,phase_bin_27_mean,-0.8064872108769504,1.0638096781091717,0.8024831916410339,0.7142857142857143
12CO2,phase_bin_17_mean,1.0404842196869732,1.0404842196869732,0.7564485777655587,1.0
12CO2,X_mean,0.3819113976363647,1.0401455516610871,1.3675867749233015,0.42857142857142855
