model,target,rmse,mae,r2
Ridge,13CO2,0.23337148566631594,0.18189691007137299,0.9199321866035461
Ridge,12CO2,20.86611914033167,16.26382827758789,0.9199328422546387
RandomForest,13CO2,0.3327955427521145,0.31170897453759394,0.8371763755196466
RandomForest,12CO2,29.755889152383695,27.87050440048127,0.837176555377697
XGBoost,13CO2,0.34217425629928017,0.315698504447937,0.8278697729110718
XGBoost,12CO2,30.370505671557293,27.514257431030273,0.8303807377815247
GradientBoosting,13CO2,0.35962671443123484,0.33986406426811744,0.8098631447894806
GradientBoosting,12CO2,31.76370887539237,29.39864491264034,0.8144617364585222
DeepLearning,13CO2,0.30866637763532684,0.251103937625885,0.8599312901496887
DeepLearning,12CO2,28.158600805373947,22.92300796508789,0.8541880249977112
