mod_mean,mod_std,mod_min,mod_max,mod_median,mod_p10,mod_p90,mod_skew,mod_kurt,phase_mean,phase_std,phase_min,phase_max,phase_median,phase_p10,phase_p90,phase_skew,phase_kurt,phase_circular_mean,phase_resultant_length,phase_sin_mean,phase_cos_mean,X_mean,X_std,X_min,X_max,X_median,X_p10,X_p90,X_skew,X_kurt,Y_mean,Y_std,Y_min,Y_max,Y_median,Y_p10,Y_p90,Y_skew,Y_kurt,phase_bin_00_mean,phase_bin_01_mean,phase_bin_02_mean,phase_bin_03_mean,phase_bin_04_mean,phase_bin_05_mean,phase_bin_06_mean,phase_bin_07_mean,phase_bin_08_mean,phase_bin_09_mean,phase_bin_10_mean,phase_bin_11_mean,phase_bin_12_mean,phase_bin_13_mean,phase_bin_14_mean,phase_bin_15_mean,phase_bin_16_mean,phase_bin_17_mean,phase_bin_18_mean,phase_bin_19_mean,phase_bin_20_mean,phase_bin_21_mean,phase_bin_22_mean,phase_bin_23_mean,phase_bin_24_mean,phase_bin_25_mean,phase_bin_26_mean,phase_bin_27_mean,phase_bin_28_mean,phase_bin_29_mean,phase_bin_30_mean,phase_bin_31_mean,mod_psd_total,mod_psd_max,mod_psd_freq_max,mod_psd_mean,mod_peak0_freq,mod_peak0_pow,mod_peak1_freq,mod_peak1_pow,mod_peak2_freq,mod_peak2_pow,mod_peak3_freq,mod_peak3_pow,mod_peak4_freq,mod_peak4_pow,P_med,P_cons,F_med,F_cons,Temp,sample_id,folder,time,N,13CO2,12CO2
0.0011507582556942602,0.0003206341215030785,0.00010848524493765183,0.0021685567491118037,0.0011339504814721964,0.0007523055416349973,0.0015771117022925858,0.06543200633390281,-0.022629693271074558,-0.89247995736149,2.443754746220099,-3.1415884176098756,3.1415333367950002,-2.5122990797587685,-2.846746476046064,2.673454224441121,0.6665756716951952,-1.5057796276855249,-3.020329447133018,0.825310468820644,-0.09983469906517736,-0.819249902537386,-0.0001076653293351897,0.0006697837465902762,-0.00141747142375322,0.001722711167132497,-0.00037011526313635593,-0.0007558438402852034,0.0010279360126330046,0.8154117715217075,-0.38236485324320446,-0.0009387705498261906,0.00029250346516454165,-0.0017075722998040996,1.654288459245703e-05,-0.0009583467727066661,-0.0012966480107722944,-0.0005535602027602559,0.41832419977574026,0.123446346581908,0.0010189938416309378,0.001126061329156292,0.001136211984998181,0.0012084427862813854,0.0011593889917564746,0.0009321080657227672,0.0007569161648709523,0.0007809234030318087,0.0009711043315278816,0.0008656373639011996,0.0008201653463654488,0.0009055978361340096,0.0008088978751078278,0.0007646674576107834,0.0008054007778146762,0.0009799033968472591,0.0009518809397117976,0.0008415109445267983,0.0007137578485040249,0.0007987109762875042,0.0006704966766260029,0.0010943685921222582,0.000962247199985516,0.0008502045628642795,0.0008429044204686822,0.001094541620011898,0.001209630888951319,0.00135824610849389,0.001282363000287672,0.0011016782786632642,0.0009710710714893661,0.0010201451367477324,7.953796007319035e-05,1.2766741929782193e-05,0.000244140625,3.88179404944804e-08,0.000244140625,1.2766741929782193e-05,0.00048828125,6.9764146222861766e-06,0.000732421875,5.125511345710173e-06,0.0009765625,4.6418704446237105e-06,0.001220703125,4.419569981419536e-06,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.3,12:46:00/scan-000,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,0,0.0,0.0
0.0010753412595857132,0.00029528109695016106,1.9597724295705466e-05,0.00204029926854571,0.0010771348981572458,0.0007295728474392579,0.001444207280370322,-0.24035949291300346,0.4003544454954113,-1.010724996071473,2.51104662291087,-3.1415696658396595,3.1415798550935277,-2.6048486781940277,-2.964657860517045,2.8038815729466178,0.7603227567777159,-1.3775010071600058,-3.0205567831053477,0.8786970164586745,-0.10609437338777833,-0.8722685542129961,-0.00010665984650212721,0.0004996755391216218,-0.0011873884985537412,0.0012547719621043094,-0.00025514938848524905,-0.0006292865998087053,0.0007136990236865904,0.7368704041761894,-0.3824354141871691,-0.0009462096309835965,0.0002952688016430786,-0.00203176094071081,0.0002623706187930708,-0.0009521576437291517,-0.0012978812203139527,-0.000570500236015923,0.18250730711225324,0.4752700949895945,0.0010877564334248356,0.001054790200493498,0.001049452357119827,0.0010738366422123839,0.001034911001907519,0.0008896637538398304,0.0008459088498291438,0.0005162561838295524,0.0004857639097183815,0.0005749964621946517,0.0005049553246295488,0.00038793531761863344,0.0005926077259883621,0.0007964292042577084,0.0005425618763639386,0.00044319391850856905,0.0005811045487660933,0.0007548092810359768,0.0007981730494234847,0.0009713021231084636,0.0007697942616943452,0.0007474161047412187,0.00030493270239402223,0.00026626839329128605,0.0004618914772507876,0.0006698753412189926,0.0008914225984258135,0.0009911634917064438,0.0012441062522992891,0.0012032256613443107,0.0011076617052933186,0.0010726480903702513,8.073701362902508e-05,1.3396863228390048e-05,0.000244140625,3.9403130126415367e-08,0.000244140625,1.3396863228390048e-05,0.00048828125,6.879370739663944e-06,0.0009765625,5.465076638664041e-06,0.000732421875,5.046942712679608e-06,0.001220703125,4.809122994354446e-06,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-001,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,1,0.0,0.0
0.0010395189383581296,0.0002917844182827575,2.1433752291466137e-06,0.0019286408909896992,0.0010521350078273992,0.0006686247505321881,0.0013976762358719557,-0.3099645643434275,0.21589008992505,-0.8809321560041062,2.56961040593848,-3.141523035193284,3.1415878895085543,-2.5612017187113025,-2.952197866824823,2.8505041570562333,0.6713762313320899,-1.5152439334291257,-3.006542658833965,0.8918080778766673,-0.12007290646659849,-0.8836878096356989,-0.00011486053575923885,0.0004838662510979726,-0.001073794727281663,0.0013131828699241618,-0.00023713084349764795,-0.0006622702005365214,0.0006334824227531949,0.6299089242398014,-0.4978894627224286,-0.000919421087439986,0.0002703362143423014,-0.0017490091442551932,2.7102713270041936e-06,-0.0009162847340415839,-0.0012615012712827466,-0.0005846259702613628,0.14927385946772564,0.16167119330903956,0.0009836524724452437,0.0010056637667413594,0.001044546897560097,0.0010621011491221603,0.0009936798043461066,0.0008220935513852493,0.0007756031182875409,0.0003114955530173443,0.0008089491875694944,0.0007309694851271807,0.0006837973143939902,0.0008467075022056059,0.0006734334111126917,0.000825921183237681,0.0007946285932497089,0.0006656024534675538,0.0006419721464617529,0.0006782910429910865,0.0007263589877217989,0.000584354800122613,0.0006179989371984219,0.0006833483791014364,0.0005445849132489172,0.0006992782458959578,0.0007595154913266148,0.0002783097463888445,0.0005360552583053007,0.001048260408781332,0.0011724256698060842,0.0011380598590718936,0.0010212342937021082,0.0009519236672773779,7.955403079839785e-05,1.3859095887462808e-05,0.000244140625,3.882578369858363e-08,0.000244140625,1.3859095887462808e-05,0.00048828125,6.9090024011786485e-06,0.0009765625,4.939239633985877e-06,0.001220703125,4.795064590136855e-06,0.000732421875,4.578302681988746e-06,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-002,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,2,0.0,0.0
0.0010706779134720106,0.000297970457548862,3.642828923158371e-05,0.0018231352976454205,0.0010734122565828948,0.0006908109240250582,0.0014667108235848472,-0.24423709541604935,-0.06291136768463668,-0.8696190552954044,2.55727406226526,-3.141591769936577,3.141555076741135,-2.5488116851706524,-2.9482002654848594,2.795289155129723,0.6621488218333009,-1.5269203833253795,-3.0064300763242846,0.8851263597318128,-0.11927202257390776,-0.8770535088141542,-0.00011937198464797208,0.0005002446338094013,-0.0011662896050226828,0.0012406313399027783,-0.00025777554077169,-0.0006710212641792191,0.0006658924582036952,0.5967000036430602,-0.701697041419366,-0.0009430634618374131,0.0002850846075285787,-0.001812962416332095,-7.180756971780541e-06,-0.0009596332833821312,-0.0013022724611748099,-0.0005716019974596403,0.17831630742375693,-0.13686421889219513,0.0010423148233600248,0.0010426070516041206,0.0010907743503712176,0.0010493607075924111,0.000973692978265859,0.0008842722230598814,0.0008003751801606944,0.0003911660463804688,0.0009192709516251964,0.0009480462124211649,0.0011478746151403073,0.0008672007307106982,0.0011182652307760665,0.0008270836819045443,0.0008584548059518987,0.0010692065585666437,0.0008406554107842506,0.000970079117784503,0.0008787256389253566,0.0007572619304528725,0.0007148701524624472,0.000718854803822765,0.0007414398713473455,0.0008859982189085387,0.0006234296748915856,0.000634139062768822,0.0006058712949813267,0.0008913518552914524,0.0011925737884820806,0.0011777578207263478,0.001012687744962738,0.001042981526853886,7.442776086793715e-05,1.3042825039643214e-05,0.000244140625,3.6323943810608664e-08,0.000244140625,1.3042825039643214e-05,0.00048828125,5.967409094561e-06,0.0009765625,4.809995487075597e-06,0.001220703125,4.807780170066251e-06,0.000732421875,4.241922927487225e-06,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.3,12:46:00/scan-003,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,3,0.0,0.0
0.0010690021100975627,0.0002941702247251068,1.1216677576126075e-05,0.001905264595603212,0.0010952748995002458,0.0006950585721280565,0.0014234133477020322,-0.494303440023597,0.43178184200215286,-0.9834250394138899,2.522739795651212,-3.1415683038124356,3.1415811860683394,-2.5882095333191213,-2.9597746086240737,2.8118691670377736,0.7524362380518247,-1.3922303009763524,-3.0011702396632143,0.8837886921874124,-0.1236962878233184,-0.8750895273153868,-0.0001111646453316012,0.00048720784775136143,-0.0010007288953961884,0.0013370909145410499,-0.0002512251091088126,-0.0006312723450992639,0.0006645853257007716,0.7592246433520108,-0.44153309758265813,-0.0009450230994968018,0.00029411318987416173,-0.0019052517761315594,0.0003043509442550178,-0.0009581478421632391,-0.0013014256221441397,-0.0005884659058663574,0.29432161566532405,0.5632331804727211,0.0010751871202048663,0.0010358768419166506,0.0010695827596689236,0.0010124388244476955,0.0008122476504802089,0.00041185288503931764,0.00033680975257446713,0.00030140210393091865,0.00023198078926571072,0.00023476754926486174,0.00025191873835507284,0.0003617354062168914,0.00032357851251686617,0.0003757897065860465,0.0004045671844566276,0.0009799278249147487,0.0008128302323727393,0.0006949636790750189,0.0007539728728773544,0.000732324918039073,0.0009957258145311648,0.0010051425026911403,0.000869881471489503,0.0007433516831024143,0.0008051611952106949,0.0008320828012886954,0.0009053762188029058,0.001081780445722876,0.001176812968944102,0.0011591831740389942,0.0011327032128549647,0.0011458683904231291,7.336755492364003e-05,1.0670289637274657e-05,0.000244140625,3.5806517776300646e-08,0.000244140625,1.0670289637274657e-05,0.00048828125,6.131385114211848e-06,0.000732421875,5.806521816019255e-06,0.0009765625,4.978929398573664e-06,0.001220703125,4.114789523224041e-06,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-004,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,4,0.0,0.0
0.0010486441796964982,0.0002994679608589088,1.4827361147766114e-05,0.0019122232813961156,0.0010617854119908134,0.0006677011623310968,0.0014163532004118316,-0.33806696678187403,0.3276725897397821,-0.7722364951558076,2.6067938076406594,-3.14158964935368,3.1415825506651807,-2.534547570408951,-2.958329788441543,2.8736371128999485,0.5876243768092201,-1.618610286912909,-3.012633062086832,0.8886224916111616,-0.11427902352590606,-0.8812435743761168,-0.00010163351053687948,0.0004720584610649504,-0.0011215072863888385,0.001189163472254177,-0.0002193155070603005,-0.0006367932042089237,0.0006079041625901815,0.5573819208277696,-0.5887577103185371,-0.0009323118552645441,0.0002948902958285829,-0.0019086090545044464,3.9341567673257205e-05,-0.0009493053236341251,-0.0012738745488552708,-0.0005490076203878103,0.16893421871579964,0.4611113231605044,0.001003961421596912,0.001052202516374225,0.0010295925756586065,0.0010117098982248508,0.000883975367835243,0.0006458964208651194,0.0004798635201034847,0.0004879175320081188,0.0003302170899892701,0.0008446924189366871,0.0009687723554749037,0.0008232718648662161,0.0007575144772879064,0.0009019395117210991,0.0007781407511808926,0.0009882869471083103,0.000876589302596694,0.000651338615393202,0.0007980405172163043,0.0007287252154912863,0.0005632936230780093,0.0007051698805209058,0.0007888453340993818,0.0004522140920572234,0.0005673839773827838,0.00037807765649982097,0.0005989309159136197,0.0010396182601897428,0.0011184268176244972,0.0011333757430082034,0.0011141133920900392,0.0011279476273478237,8.05566249416562e-05,1.3129745739565073e-05,0.000244140625,3.93150926996858e-08,0.000244140625,1.3129745739565073e-05,0.00048828125,7.715647232990196e-06,0.000732421875,5.060944408880907e-06,0.0009765625,4.842011384249692e-06,0.001708984375,4.391243585844872e-06,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-005,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,5,0.0,0.0
0.0010504154375687398,0.00030743488530636406,5.5893486459719784e-05,0.0019717010038156203,0.001051853295498496,0.000631391523461903,0.0014622919005926735,-0.1738642232483001,0.005528782092193207,-0.8646090359172045,2.5573073903314127,-3.1415827243228143,3.141486991935654,-2.532983913120545,-2.935777344200126,2.873157075063868,0.6740052785582664,-1.5089998460271594,-2.9851864555757124,0.8856338657951324,-0.13795455497723025,-0.87482334502702,-0.00011046249254281582,0.00048813171367046343,-0.0013211657999205291,0.0013644211458160595,-0.0002513659329032658,-0.0006348548590682931,0.00066329869253925,0.6189227227371078,-0.5721079209548292,-0.000925697031122856,0.0003008283283239919,-0.0018640265931488546,8.63611453737088e-05,-0.0009288740510448504,-0.0013136943903253213,-0.0005318258735421936,-0.009430266194808929,0.04448461518861757,0.0010320747825602401,0.001007756692542006,0.0009902219676818243,0.0010073138036652354,0.0008506769726347219,0.0006201241819896009,0.0004895464666801821,0.0003334200551766487,0.00040805075712301925,0.0005405266850764516,0.0007398859644896574,0.0007913566365199922,0.000717821952892319,0.0006070737452071445,0.0005624094539572719,0.0006704739961589295,0.0006767622614647521,0.000519702111659154,0.0007279421978074577,0.0005902826320225361,0.0003248225942982455,0.0005857785785063083,0.00043930380517930153,0.0003519534341766677,0.00024541295593473233,0.00027409830864267274,0.0007129226110309038,0.0010658748782830037,0.0011616816526095082,0.001198652983543557,0.0012115783311332487,0.0011311776505504231,7.631641890739097e-05,1.1984945968053685e-05,0.000244140625,3.724569004753098e-08,0.000244140625,1.1984945968053685e-05,0.00048828125,6.6155435380725736e-06,0.000732421875,5.481795525190743e-06,0.00146484375,4.938282615278786e-06,0.001708984375,4.6249994847798785e-06,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-006,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,6,0.0,0.0
0.0010473317674652778,0.0003189003793361969,2.1852442747550644e-06,0.0020491936317562983,0.0010356872923361193,0.0006545178786475974,0.0014824098554139199,0.04516754859913212,-0.15409095759195246,-0.7466753681485829,2.6121552639003704,-3.1415859221471436,3.141589565599598,-2.5294902539382838,-2.955178260378472,2.89432506770899,0.5650222452661806,-1.6442556702573405,-3.0185828538578883,0.8863291191672206,-0.1087524195834768,-0.8796318654519517,-6.991808446438632e-05,0.0004915305813469307,-0.001212075074643687,0.0012492737112638817,-0.00020130510198456005,-0.0006074182022394586,0.0006963410972852064,0.5816140390262409,-0.5127723641437849,-0.0009275977742351827,0.00030277240813747237,-0.002035231959077387,4.261522527386942e-05,-0.0009331997215411802,-0.0012986164526405677,-0.0005401968827596329,0.02631858338032826,0.14304908049270715,0.0009496532198419923,0.0009865593069887226,0.0009948400523641353,0.0009756440305726799,0.0009073438228713328,0.0006433281204642099,0.0005083291031610808,0.0004178416362658616,0.0002857199092217302,0.0003441976304497564,0.0005457514769607001,0.0005862022058267133,0.0007382486307287269,0.000792455698869413,0.0009590768262998675,0.0006538984137580673,0.0009342367096753385,0.000944734739405631,0.000922462629756103,0.0008055308931008499,0.0008064180507706976,0.0009062894239858915,0.0009237307275765898,0.0010907694082205681,0.0008103794986759844,0.0006954915695753746,0.0006546718468083535,0.0010209102710988652,0.0012830855372951242,0.0012295555138960514,0.0011510635019417927,0.0011306985288691744,8.092085717520784e-05,1.3820327430774912e-05,0.000244140625,3.949285367262462e-08,0.000244140625,1.3820327430774912e-05,0.00048828125,7.0092632846144514e-06,0.000732421875,5.657977485086912e-06,0.001220703125,5.020350968238213e-06,0.0009765625,4.960266357690194e-06,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-007,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,7,0.0,0.0
0.0010802376051875346,0.00031914688617220205,1.453788916187466e-05,0.0020976282269274203,0.0010862555291287282,0.0006694087172406829,0.0014840420962611055,-0.08203368198237526,0.21904544171958307,-0.7563026881154382,2.602279466447115,-3.1415165538861642,3.1415898085328906,-2.5175441746147817,-2.954209821554895,2.899827662967516,0.5805869169676581,-1.6249281758001133,-3.0059299143764138,0.8842568596779598,-0.11959307916272686,-0.8761322327730585,-9.30219490369938e-05,0.0005106440162553335,-0.0012770031542612944,0.0014705721572850147,-0.0002100373968145608,-0.0006629606770046855,0.0006641192596272387,0.5942659100573362,-0.47299520299152453,-0.0009517310216436363,0.00030588285209398716,-0.0019015971713505248,2.0880140309540198e-05,-0.0009531313842765375,-0.0013295617779516269,-0.000564092578253017,0.03322037203047199,0.18785571526971934,0.0009696903388926268,0.001006974576125285,0.0010492814992456017,0.0010460278108775976,0.0009382131599702943,0.0006860078665124434,0.0004247974097430246,0.0005791478704317481,0.0002983170455142695,0.00040286933258386435,0.0009225188458977673,0.0008919326157939835,0.0010579964359144814,0.0009520462256098374,0.0009405564153519928,0.0009935645323337753,0.0009674627987440608,0.0010469634881757881,0.0008140762612874476,0.0009903326973243294,0.0010782623339269674,0.000892625763787447,0.0009532040653447323,0.0007997642167712098,0.0008346033298314242,0.0008023336310220582,0.0007779442661283308,0.0010409299466669637,0.0013199231031613085,0.0011799588734435892,0.001252064965902053,0.0011476389595758813,7.649537511408894e-05,1.094145580399996e-05,0.000244140625,3.7333028362171274e-08,0.000244140625,1.094145580399996e-05,0.00048828125,6.5967246794216345e-06,0.0009765625,5.5779475754706055e-06,0.000732421875,5.4193799699328414e-06,0.001220703125,4.450883294610207e-06,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3,12:46:00/scan-008,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,8,0.0,0.0
0.0010713652023227676,0.0003051362026315924,0.00021785506795550148,0.0020673586613018484,0.0010657700100670268,0.0006672652888911172,0.0014872334135438332,0.10037497696931987,-0.3724386367509225,-0.89378398071686,2.583472275060497,-3.1415451522333897,3.1415852667323545,-2.570011911547719,-2.9612254537384537,2.9050860221082657,0.68814588490165,-1.4922618042507467,-2.998451703644221,0.8996681645824289,-0.1283400388684466,-0.8904670913550721,-0.00010251806799457457,0.0004896727602517702,-0.001150236912566891,0.001384096657101114,-0.00022646443633639015,-0.0006359990011252436,0.0006527443107883345,0.732216358809034,-0.23175146992370976,-0.0009537807081032864,0.000284505060817561,-0.002063814866839298,-0.00020513866948322114,-0.0009405663197765909,-0.0013323594299919233,-0.0005966026551921641,-0.31856050667832564,-0.04358243653002969,0.0009756559159208582,0.0010277834457661926,0.0010068924091543032,0.001037088425695147,0.0009814802472342583,0.0009021334190019477,0.0009409202327746647,0.0009613633199001556,0.0008370241812384386,0.0009002601637386134,0.0009474596422334009,0.0009841884849092263,0.0008483103196254509,0.0009928225775631076,0.0008443217581382555,0.0008956239092974049,0.0009589470176784399,0.0008742087105648339,0.00066235796873695,0.000767063186839977,0.0009648412948346427,0.0009562062637854541,0.0008594365665619654,0.0009386059103765209,0.0008521522777416419,0.0008620261612626985,0.0013018881717866448,0.0013369963945926808,0.0012684165019145285,0.0011919629191543737,0.0011528691268779118,0.0011091941688561521,7.931352135111945e-05,1.3126247655959402e-05,0.000244140625,3.870840475896508e-08,0.000244140625,1.3126247655959402e-05,0.00048828125,6.0128647681680265e-06,0.000732421875,5.799925462109474e-06,0.0009765625,5.370155935039164e-06,0.00146484375,5.039245091291457e-06,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.4,12:46:00/scan-009,MEDICIONES_REALIZADAS_a_fecha_de_lunes_13_abril_2026_12_46_00,12:46:00,9,0.0,0.0
