experiment_id,model,target,rmse,mae,r2
exp-001-baseline-all-models,Ridge,13CO2,0.2333714856663159,0.1818969100713729,0.919932186603546
exp-001-baseline-all-models,Ridge,12CO2,20.86611914033167,16.26382827758789,0.9199328422546388
exp-001-baseline-all-models,RandomForest,13CO2,0.3327955427521145,0.3117089745375939,0.8371763755196466
exp-001-baseline-all-models,RandomForest,12CO2,29.75588915238369,27.87050440048127,0.837176555377697
exp-001-baseline-all-models,XGBoost,13CO2,0.3421742562992801,0.315698504447937,0.8278697729110718
exp-001-baseline-all-models,XGBoost,12CO2,30.370505671557293,27.514257431030277,0.8303807377815247
exp-001-baseline-all-models,GradientBoosting,13CO2,0.3596267144312348,0.3398640642681174,0.8098631447894806
exp-001-baseline-all-models,GradientBoosting,12CO2,31.76370887539237,29.39864491264034,0.8144617364585222
exp-001-baseline-all-models,DeepLearning,13CO2,0.3086663776353268,0.251103937625885,0.8599312901496887
exp-001-baseline-all-models,DeepLearning,12CO2,28.158600805373947,22.92300796508789,0.8541880249977112
exp-002-linear-spectral-regularization,RidgeNestedFull,13CO2,0.1779083896601993,0.1276143976620265,0.953467619218474
exp-002-linear-spectral-regularization,RidgeNestedFull,12CO2,15.907127138997788,11.410237285069057,0.953467693686578
exp-002-linear-spectral-regularization,RidgeNestedCompact,13CO2,0.1483098369210308,0.1041660330125263,0.9676628061047504
exp-002-linear-spectral-regularization,RidgeNestedCompact,12CO2,13.260648424896177,9.313658360072544,0.967662935292614
exp-002-linear-spectral-regularization,PLSNestedFull,13CO2,0.1833694559914963,0.1295681220704093,0.9505670635963036
exp-002-linear-spectral-regularization,PLSNestedFull,12CO2,16.395419155777855,11.584932562350078,0.9505670962730168
exp-002-linear-spectral-regularization,PLSNestedCompact,13CO2,0.1518433292962777,0.1100061199804469,0.9661035785414364
exp-002-linear-spectral-regularization,PLSNestedCompact,12CO2,13.576599960983712,9.835848886410496,0.9661036358245754
exp-003c-literature-deep-valid,DeepLearning,13CO2,0.5011811610110098,0.4188339114189148,0.6307232975959778
exp-003c-literature-deep-valid,DeepLearning,12CO2,49.90916798372945,39.768821716308594,0.5419301390647888
exp-004-fully-nested-small-inception,InceptionNestedNoAug,13CO2,0.329751208328451,0.281448632478714,0.8401416540145874
exp-004-fully-nested-small-inception,InceptionNestedNoAug,12CO2,29.80135548216253,25.14432144165039,0.8366786241531372
exp-004-fully-nested-small-inception,InceptionNestedAug,13CO2,0.2647765718630075,0.2080572098493576,0.8969325423240662
exp-004-fully-nested-small-inception,InceptionNestedAug,12CO2,24.45858565226892,19.9200439453125,0.8899896144866943
