model,seed,target,group,samples,rmse,mae,bias
InceptionNestedNoAug,1,13CO2,12:46:00,20,0.48908230662345886,0.4638573229312897,0.4638573229312897
InceptionNestedNoAug,1,12CO2,12:46:00,20,57.37678146362305,57.12029266357422,57.12029266357422
InceptionNestedNoAug,1,13CO2,12:55:42,20,0.6541169285774231,0.6380138993263245,0.6380138993263245
InceptionNestedNoAug,1,12CO2,12:55:42,20,20.250263214111328,18.02101707458496,9.519624710083008
InceptionNestedNoAug,1,13CO2,13:05:15,20,0.19179880619049072,0.14573505520820618,-0.14573505520820618
InceptionNestedNoAug,1,12CO2,13:05:15,20,16.48412322998047,12.447665214538574,-11.081871032714844
InceptionNestedNoAug,1,13CO2,13:14:37,20,0.20098651945590973,0.16428115963935852,0.07700180262327194
InceptionNestedNoAug,1,12CO2,13:14:37,20,18.49980926513672,15.237428665161133,7.183305263519287
InceptionNestedNoAug,1,13CO2,13:24:02,20,0.34707191586494446,0.32406100630760193,-0.3194313049316406
InceptionNestedNoAug,1,12CO2,13:24:02,20,16.43769645690918,14.747967720031738,-14.747967720031738
InceptionNestedNoAug,1,13CO2,13:33:30,20,0.2915184795856476,0.2821838855743408,-0.2821838855743408
InceptionNestedNoAug,1,12CO2,13:33:30,20,28.814130783081055,26.898395538330078,-26.898395538330078
InceptionNestedNoAug,1,13CO2,13:43:08,20,0.4346933960914612,0.4009103775024414,-0.4009103775024414
InceptionNestedNoAug,1,12CO2,13:43:08,20,18.424137115478516,14.03448486328125,-13.450360298156738
InceptionNestedNoAug,2,13CO2,12:46:00,20,0.6595988273620605,0.6561217308044434,0.6561217308044434
InceptionNestedNoAug,2,12CO2,12:46:00,20,59.730106353759766,59.43279266357422,59.43279266357422
InceptionNestedNoAug,2,13CO2,12:55:42,20,0.22273100912570953,0.21339201927185059,0.21339201927185059
InceptionNestedNoAug,2,12CO2,12:55:42,20,28.213544845581055,27.927947998046875,27.927947998046875
InceptionNestedNoAug,2,13CO2,13:05:15,20,0.25836968421936035,0.2381015568971634,-0.2381015568971634
InceptionNestedNoAug,2,12CO2,13:05:15,20,23.750226974487305,22.495258331298828,-22.495258331298828
InceptionNestedNoAug,2,13CO2,13:14:37,20,0.14122921228408813,0.07891715317964554,-0.02176683582365513
InceptionNestedNoAug,2,12CO2,13:14:37,20,14.504047393798828,11.506080627441406,4.5700364112854
InceptionNestedNoAug,2,13CO2,13:24:02,20,0.20158134400844574,0.17563551664352417,-0.17563551664352417
InceptionNestedNoAug,2,12CO2,13:24:02,20,19.352191925048828,17.961050033569336,-17.961050033569336
InceptionNestedNoAug,2,13CO2,13:33:30,20,0.18351922929286957,0.1613791286945343,-0.1613791286945343
