model,seed,target,rmse,mae,r2
InceptionNestedNoAug,1,13CO2,0.40331717205903184,0.34557750821113586,0.7608579993247986
InceptionNestedNoAug,1,12CO2,28.67562028501683,22.643892288208008,0.848784327507019
InceptionNestedNoAug,2,13CO2,0.3305383780245427,0.26317402720451355,0.8393775224685669
InceptionNestedNoAug,2,12CO2,35.87646481384506,30.569684982299805,0.7633042931556702
InceptionNestedNoAug,3,13CO2,0.413460203485944,0.3110286593437195,0.7486783266067505
InceptionNestedNoAug,3,12CO2,30.500758427429922,24.79091453552246,0.8289227485656738
InceptionNestedNoAug,4,13CO2,0.3022861115273608,0.2377675175666809,0.8656620383262634
InceptionNestedNoAug,4,12CO2,31.040519566857586,26.466556549072266,0.8228141665458679
InceptionNestedNoAug,5,13CO2,0.32235100511012854,0.2730199098587036,0.847236156463623
InceptionNestedNoAug,5,12CO2,29.328615098129315,24.989910125732422,0.8418190479278564
InceptionNestedAug,1,13CO2,0.26162299496884367,0.20655083656311035,0.8993730545043945
InceptionNestedAug,1,12CO2,23.620130894982225,19.72673797607422,0.8974027633666992
InceptionNestedAug,2,13CO2,0.2763949538661837,0.22304700314998627,0.8876888751983643
InceptionNestedAug,2,12CO2,24.917663486235647,19.875099182128906,0.8858211636543274
InceptionNestedAug,3,13CO2,0.3302459967079641,0.2818945646286011,0.8396615982055664
InceptionNestedAug,3,12CO2,27.276534574225266,23.521930694580078,0.8631800413131714
InceptionNestedAug,4,13CO2,0.2511190165997925,0.19297248125076294,0.907291054725647
InceptionNestedAug,4,12CO2,25.020429884818,19.528766632080078,0.8848773837089539
InceptionNestedAug,5,13CO2,0.290166139860367,0.21555335819721222,0.8762184381484985
InceptionNestedAug,5,12CO2,27.620742124494274,21.682973861694336,0.8597051501274109
