model,target,region,mae_region,rmse_region,bias,mae_overall,rmse_overall,residual_actual_corr
PLSNestedCompact,12CO2,endpoint,14.049719287293565,17.504932457395988,5.714621799886273,9.835848886410497,13.576599960983712,-0.3667957854639681
PLSNestedCompact,12CO2,interior,8.150300726057269,11.639786465636638,-0.7942591648434535,9.835848886410497,13.576599960983712,-0.3667957854639681
PLSNestedCompact,13CO2,endpoint,0.157134898944039,0.1957785734286879,0.063913409913163,0.11000611998044688,0.15184332929627772,-0.36679582307572006
PLSNestedCompact,13CO2,interior,0.09115460839501002,0.1301816246133843,-0.008883128723601735,0.11000611998044688,0.15184332929627772,-0.36679582307572006
PLSNestedFull,12CO2,endpoint,18.784408064502315,23.32728308263958,11.51192246585587,11.584932562350078,16.395419155777855,-0.41621829725590836
PLSNestedFull,12CO2,interior,8.705142361489184,12.59638132973376,-1.2049147545852932,11.584932562350078,16.395419155777855,-0.41621829725590836
PLSNestedFull,13CO2,endpoint,0.2100883946856184,0.2608967230542239,0.128751402633502,0.12956812207040927,0.18336945599149634,-0.4162182388911143
PLSNestedFull,13CO2,interior,0.09736001302432562,0.14088030489281064,-0.01347596499852325,0.12956812207040927,0.18336945599149634,-0.4162182388911143
RidgeBaseline,12CO2,endpoint,24.74350700378418,28.956588322052973,9.50259895324707,16.26382838657924,20.866119005773417,-0.44485874855944635
RidgeBaseline,12CO2,interior,12.871956939697265,16.557756140467713,-0.4712688446044922,16.26382838657924,20.866119005773417,-0.44485874855944635
RidgeBaseline,13CO2,endpoint,0.2767335474491119,0.32385763161833125,0.10628754496574402,0.1818969002791813,0.23337148307410954,-0.44485035540087164
RidgeBaseline,13CO2,interior,0.14396224141120906,0.18518542743455613,-0.005271556377410888,0.1818969002791813,0.23337148307410954,-0.44485035540087164
RidgeNestedCompact,12CO2,endpoint,15.171785163879395,18.11011152089843,5.55369815826416,9.313658360072544,13.260648424896175,-0.4731319068528074
RidgeNestedCompact,12CO2,interior,6.970407638549805,10.723444390140267,-0.9235408020019531,9.313658360072544,13.260648424896175,-0.4731319068528074
RidgeNestedCompact,13CO2,endpoint,0.1696847409009933,0.20254735962038045,0.062113198637962344,0.10416603301252633,0.14830983692103078,-0.47313319352435934
RidgeNestedCompact,13CO2,interior,0.07795854985713956,0.11993313830165855,-0.010329049229621901,0.10416603301252633,0.14830983692103078,-0.47313319352435934
RidgeNestedFull,12CO2,endpoint,19.799288940429687,22.83041553518565,7.846443939208984,11.410237285069057,15.907127138997788,-0.5246994847441525
RidgeNestedFull,12CO2,interior,8.054616622924804,12.073119809686204,-0.38354576110839844,11.410237285069057,15.907127138997788,-0.5246994847441525
RidgeNestedFull,13CO2,endpoint,0.22143915891647334,0.2553397703633084,0.08775594234466554,0.1276143976620265,0.1779083896601993,-0.5246995489061036
RidgeNestedFull,13CO2,interior,0.09008449316024776,0.13502812234643796,-0.004289590120315564,0.1276143976620265,0.1779083896601993,-0.5246995489061036
