,0
mod_mean,0.0014968527605690595
mod_std,0.0006636714001485546
mod_min,0.0001248245827046698
mod_max,0.003970130510528439
mod_median,0.0013698499283886381
mod_p10,0.0008230218065104314
mod_p90,0.0022504538663529923
mod_skew,1.0270703067138258
mod_kurt,2.0420298304841187
phase_mean,-0.8209162661007472
phase_std,2.2649516991206577
phase_min,-3.672996573788779
phase_max,3.672803028992244
phase_median,-2.2402106864111766
phase_p10,-2.7333414793014525
phase_p90,2.4633556280817306
phase_skew,0.6732710399797984
phase_kurt,-1.4532014659472874
X_mean,-0.00013867197719394297
X_std,0.0012637233964466889
X_min,-0.002129813331911074
X_max,0.0035637298998023783
X_median,-0.000569667613308411
X_p10,-0.0013794316955941862
X_p90,0.0019001901316057358
X_skew,0.9800006002187729
X_kurt,0.15257129204858627
Y_mean,-0.000909156703606381
Y_std,0.0003537208739934223
Y_min,-0.002052545446869252
Y_max,0.00013818691249168426
Y_median,-0.0009029413935162926
Y_p10,-0.0013674644886382988
Y_p90,-0.0004557634015717278
Y_skew,-0.1269683636591903
Y_kurt,0.14659672917665115
phase_bin_00_mean,0.0009815984950234582
phase_bin_01_mean,0.0010580048767483926
phase_bin_02_mean,0.0011678549793681927
phase_bin_03_mean,0.0012625024782859588
phase_bin_04_mean,0.0013718793617694507
phase_bin_05_mean,0.0014456213686831428
phase_bin_06_mean,0.0015006043605223698
phase_bin_07_mean,0.0014917261748840767
phase_bin_08_mean,0.0009512557485972398
phase_bin_09_mean,0.000707787971311648
phase_bin_10_mean,0.0007540793278686969
phase_bin_11_mean,0.0007354564245490889
phase_bin_12_mean,0.0007563062726278855
phase_bin_13_mean,0.0007625226989538143
phase_bin_14_mean,0.0007841339016782253
phase_bin_15_mean,0.000792511788729046
phase_bin_16_mean,0.0007861145780355271
phase_bin_17_mean,0.0007700832836884989
phase_bin_18_mean,0.0007585067094104098
phase_bin_19_mean,0.0007525749517039263
phase_bin_20_mean,0.0007412711841295407
phase_bin_21_mean,0.0006892656800378713
phase_bin_22_mean,0.0006378468329785392
phase_bin_23_mean,0.0014139081876367397
phase_bin_24_mean,0.0016820661439851392
phase_bin_25_mean,0.0019452510823612101
phase_bin_26_mean,0.002052015931362153
phase_bin_27_mean,0.0014501505635312892
phase_bin_28_mean,0.0011737346428812349
phase_bin_29_mean,0.0010195913608185947
phase_bin_30_mean,0.0009626900045467275
phase_bin_31_mean,0.0009681356754819197
mod_psd_total,0.00010133976715483835
mod_psd_max,3.287753699753791e-05
mod_psd_freq_max,0.000244140625
mod_psd_mean,4.945815901586619e-08
mod_peak0_freq,0.000244140625
mod_peak0_pow,3.287753699753791e-05
mod_peak1_freq,0.0004952566964285714
mod_peak1_pow,8.193295418225587e-06
mod_peak2_freq,0.0008719308035714286
mod_peak2_pow,5.376338672899043e-06
mod_peak3_freq,0.0010986328125
mod_peak3_pow,4.917757064504258e-06
mod_peak4_freq,0.0013392857142857143
mod_peak4_pow,4.590134929977857e-06
P_med,0.9000019426856722
P_cons,0.8999727964401245
F_med,110.03571428571429
F_cons,1000.0
Temp,30.317856448037283
